gene	length
ODC1	2476
IRF1	2061
IARS	4587
HSPH1	3570
UBXN1	1153
SCOTIN	1839
TYMP	1751
PSME2	874
ZAP	4899
TMSB4X	1702
WARS	2466
CCND3	2085
PSME1	965
BCL7A	2581
NFE2L1	4672
NFKBIA	1558
PSMB10	977
SLC25A28	1526
DCP1A	5926
CCDC92	1790
STAT1	4310
PFKFB3	4157
TRIM25	5745
CD9	1225
LAP3	1876
GPATCH11	3906
AKT3	7281
SAMHD1	5298
C19orf66	1928
MEX3A	6591
BTG1	4629
PKR	9975
ISG20	1583
GPAM	6372
E2F7	5725
PML	2885
MORC3	4224
EHD4	6401
RBCK1	1200
OTUD3	6515
FAM107B	692
MOV10	4100
SAT1	909
TXNIP	2905
HERC5	3511
TDRD7	3688
CLIP1	5568
SWAP70	4884
CASP8	2930
IFI6	828
TMEM268	771
FLT1	2969
MICB	2411
MAP3K5	5157
LGALS3BP	2202
MX1	887
DDIT3	872
MTSS1	4944
NAP1L3	2649
MFSD2A	2154
CPEB4	2607
APOL2	1421
ISG15	657
NANOS1	4017
RCOR2	2915
SERTAD1	2084
ANXA1	905
IFI44L	849
CMPK2	2417
AMZ1	964
HERC6	3779
C2	1658
IRF8	2668
EPSTI1	3114
ZNF10	4406
SP110	2032
IRF7	1943
JAK2	5285
IFI27	692
OAS3	1392
IFIT1	4302
ADAMTS15	5673
LPAR6	3004
ANXA2R	1265
TMEM100	1755
GDF6	1179
APOL3	1240
BTN3A3	2970
UBA7	708
IFIH1	2795
ZNF225-AS1	3199
LGALS9	3018
RSAD2	3407
PSMB8	1124
GPNMB	862
PARP12	3796
OAS2	2908
DDX58	4628
PSMB9	792
IFIT3	2455
FCGR1A	2180
APOL4	3227
APOL1	2918
OASL	3266
MX2	827
IFIT2	3703
DDX60	6015
CD86	891
IFI44	686
RARRES3	758
FGL2	989
KCNA3	2476
CD36	1741
CTCFL	3864
SAMD9L	1221
IDO1	1849
LEP	3427
TLR3	1156
APOBEC3A	1358
TGFBI	1173
LINC01894	1249
GBP2	3461
TACR3	5359
SIGLEC1	6720
APOL6	10065
CX3CL1	3285
FPR3	2222
JAML	591
XAF1	1584
GIMAP4	1945
CCL2	736
MNDA	797
TNFSF10	1619
PARP14	850
PARP9	3198
UBE2L6	1573
DYNLL1	1376
HSPA5	3921
PSMA5	1667
DNAJA1	2319
SQSTM1	2253
SLC16A1	3910
